ref_position,max_position,min_position,opt_position,opt_velocity,opt_acceleration,opt_jerk,time,
0,40,-60,1.11363e-11,22,-1,-3.00416,0,
3.5,43,-56,4.37599,21.7399,-1.60083,-0.45482,0.2,
7,46,-52,8.69135,21.4107,-1.6918,0.153691,0.4,
10.5,49,-48,12.9399,21.0754,-1.66106,0.295623,0.6,
14,52,-44,17.1221,20.7491,-1.60193,0.325496,0.8,
17.5,55,-40,21.2403,20.4352,-1.53683,0.328565,1,
21,58,-36,25.2971,20.1344,-1.47112,0.325331,1.2,
24.5,61,-32,29.2949,19.8467,-1.40605,0.320725,1.4,
28,64,-28,33.2366,19.5719,-1.34191,0.315932,1.6,
31.5,67,-24,37.1245,19.3098,-1.27872,0.311238,1.8,
35,70,-20,40.9613,19.0603,-1.21648,0.306711,2,
38.5,73,-16,44.7495,18.8231,-1.15513,0.302368,2.2,
42,76,-12,48.4914,18.5982,-1.09466,0.298214,2.4,
45.5,79,-8,52.1896,18.3852,-1.03502,0.294249,2.6,
49,82,-4,55.8463,18.1841,-0.976167,0.290473,2.8,
52.5,85,0,59.464,17.9946,-0.918073,0.286887,3,
56,88,4,63.0449,17.8168,-0.860695,0.283491,3.2,
59.5,91,8,66.5914,17.6503,-0.803997,0.280285,3.4,
63,94,12,70.1058,17.4951,-0.74794,0.277268,3.6,
66.5,97,16,73.5902,17.3511,-0.692486,0.27444,3.8,
70,100,20,77.0469,17.2181,-0.637598,0.271803,4,
73.5,103,24,80.4782,17.096,-0.583238,0.269355,4.2,
77,106,28,83.8861,16.9847,-0.529367,0.267098,4.4,
80.5,109,32,87.2728,16.8842,-0.475947,0.265036,4.6,
84,112,36,90.6404,16.7943,-0.42294,0.263191,4.8,
87.5,115,40,93.9912,16.715,-0.370302,0.261647,5,
99,134,44,97.3271,16.6461,-0.317972,0.260544,5.2,
103,138,48,100.65,16.5878,-0.265864,0.259765,5.4,
107,142,52,103.963,16.5398,-0.213911,0.259233,5.6,
111,146,56,107.267,16.5022,-0.162064,0.258929,5.8,
115,150,60,110.564,16.475,-0.110278,0.258849,6,
119,154,64,113.858,16.4581,-0.0585084,0.258993,6.2,
123,158,68,117.148,16.4515,-0.00670975,0.259361,6.4,
127,162,72,120.439,16.4554,0.0451624,0.259952,6.6,
131,166,76,123.731,16.4696,0.0971527,0.260767,6.8,
135,170,80,127.027,16.4943,0.149306,0.261806,7,
139,174,84,130.33,16.5294,0.201667,0.26307,7.2,
143,178,88,133.64,16.575,0.254281,0.264559,7.4,
147,182,92,136.96,16.6311,0.307193,0.266273,7.6,
151,186,96,140.293,16.6979,0.360448,0.26821,7.8,
155,190,100,143.64,16.7753,0.41409,0.270368,8,
159,194,104,147.004,16.8636,0.468163,0.272729,8.2,
163,198,108,150.386,16.9626,0.522709,0.275215,8.4,
167,202,112,153.79,17.0727,0.577752,0.277513,8.6,
171,206,116,157.216,17.1938,0.633255,0.278309,8.8,
175,210,120,160.668,17.326,0.688917,0.272139,9,
179,214,124,164.147,17.4692,0.743345,0.236286,9.2,
183,218,128,167.656,17.6226,0.790602,0.0762756,9.4,
187,222,132,171.197,17.7823,0.805857,-0.600759,9.6,
191,226,136,174.769,17.9314,0.685705,-3.42853,9.8,
195,230,140,178.364,18,6.01128e-16,-3.42853,10,
